index,people,doorOpen,doorLocked,timestamp,peopleAllowd
1,4,0,1,5/3/2021 14:34,
2,4,0,0,5/3/2021 14:34,
3,4,1,0,5/3/2021 14:34,
4,5,1,0,5/3/2021 14:34,
5,5,0,1,5/3/2021 14:34,
6,5,0,0,5/3/2021 14:34,
7,5,0,1,5/3/2021 14:34,
8,5,0,0,5/3/2021 14:34,
9,5,0,1,5/3/2021 14:34,
10,5,0,0,5/3/2021 14:34,
11,5,1,0,5/3/2021 14:34,
12,5,0,0,5/3/2021 14:34,
13,5,1,0,5/3/2021 14:34,
14,5,0,0,5/3/2021 14:34,
15,5,1,0,5/3/2021 14:34,
16,5,0,0,5/3/2021 14:34,
17,5,1,0,5/3/2021 14:34,
18,5,0,0,5/3/2021 14:34,
19,5,1,0,5/3/2021 14:34,
20,5,0,0,5/3/2021 14:34,
21,5,1,0,5/3/2021 14:34,
22,5,0,0,5/3/2021 14:34,
23,5,1,0,5/3/2021 14:34,
24,5,0,0,5/3/2021 14:34,
25,5,1,0,5/3/2021 14:34,
26,5,0,0,5/3/2021 14:34,
27,5,1,0,5/3/2021 14:34,
28,4,1,0,5/3/2021 14:34,
29,0,0,1,5/3/2021 14:34,
30,0,0,0,5/3/2021 14:34,
31,0,0,1,5/3/2021 14:34,
32,0,0,0,5/3/2021 14:34,
33,0,1,0,5/3/2021 14:34,
34,1,1,0,5/3/2021 14:34,
35,2,1,0,5/3/2021 14:34,
36,3,1,0,5/3/2021 14:34,
37,4,1,0,5/3/2021 14:34,
38,5,1,0,5/3/2021 14:34,
39,6,1,0,5/3/2021 14:34,
40,7,1,0,5/3/2021 14:34,
41,8,1,0,5/3/2021 14:34,
42,9,1,0,5/3/2021 14:34,
43,10,1,0,5/3/2021 14:34,
44,11,1,0,5/3/2021 14:34,
45,10,1,0,5/3/2021 14:34,
46,9,1,0,5/3/2021 14:34,
47,0,0,1,5/3/2021 14:45,
48,0,1,0,5/3/2021 14:45,
49,1,1,0,5/3/2021 14:45,
50,2,1,0,5/3/2021 14:45,
51,3,1,0,5/3/2021 14:45,
52,3,0,1,5/3/2021 14:45,
53,3,1,0,5/3/2021 14:45,
54,4,1,0,5/3/2021 14:45,
55,5,1,0,5/3/2021 14:45,
56,6,1,0,5/3/2021 14:45,
57,6,0,0,5/3/2021 14:45,
58,6,1,0,5/3/2021 14:45,
59,7,1,0,5/3/2021 14:45,
60,8,1,0,5/3/2021 14:45,
61,8,0,0,5/3/2021 14:45,
62,8,1,0,5/3/2021 14:45,
63,9,1,0,5/3/2021 14:45,
64,9,0,1,5/3/2021 14:46,
65,9,1,0,5/3/2021 14:46,
66,9,0,0,5/3/2021 14:46,
67,9,1,0,5/3/2021 14:46,
68,10,1,0,5/3/2021 14:46,
69,10,0,0,5/3/2021 14:46,
70,10,1,0,5/3/2021 14:46,
71,11,1,0,5/3/2021 14:46,
72,12,1,0,5/3/2021 14:46,
73,13,1,0,5/3/2021 14:46,
74,13,0,0,5/3/2021 14:46,
75,13,1,0,5/3/2021 14:46,
76,13,0,0,5/3/2021 14:46,
77,13,1,0,5/3/2021 14:46,
78,13,0,0,5/3/2021 14:47,
79,13,1,0,5/3/2021 14:47,
80,14,1,0,5/3/2021 14:47,
81,14,0,0,5/3/2021 14:47,
82,14,1,0,5/3/2021 14:47,
83,15,1,0,5/3/2021 14:47,
84,14,1,0,5/3/2021 14:47,
85,14,0,1,5/3/2021 14:47,
86,14,1,0,5/3/2021 14:47,
87,15,1,0,5/3/2021 14:47,
88,15,0,1,5/3/2021 14:47,
89,15,1,0,5/3/2021 14:47,
90,14,1,0,5/3/2021 14:47,
91,15,1,0,5/3/2021 14:47,
92,16,1,0,5/3/2021 14:47,
93,16,0,0,5/3/2021 14:47,
94,16,1,0,5/3/2021 14:47,
95,16,0,1,5/3/2021 14:47,
96,16,1,0,5/3/2021 14:47,
97,15,1,0,5/3/2021 14:47,
98,15,0,0,5/3/2021 14:47,
99,15,1,0,5/3/2021 14:47,
100,14,1,0,5/3/2021 14:47,
101,14,0,1,5/3/2021 14:47,
102,14,1,0,5/3/2021 14:47,
103,14,0,1,5/3/2021 14:47,
104,14,1,0,5/3/2021 14:47,
105,14,0,1,5/3/2021 14:48,
106,14,1,0,5/3/2021 14:48,
107,15,1,0,5/3/2021 14:48,
108,16,1,0,5/3/2021 14:49,
109,0,0,1,5/3/2021 14:51,
110,0,1,0,5/3/2021 14:51,
111,0,0,1,5/3/2021 14:51,
112,0,1,0,5/3/2021 14:51,
113,1,1,0,5/3/2021 14:51,
114,1,0,0,5/3/2021 14:51,
115,1,1,0,5/3/2021 14:51,
116,2,1,0,5/3/2021 14:51,
117,2,0,0,5/3/2021 14:51,
118,2,1,0,5/3/2021 14:51,
119,2,0,0,5/3/2021 14:51,
120,2,1,0,5/3/2021 14:51,
121,3,1,0,5/3/2021 14:51,
122,0,0,1,5/3/2021 14:55,
123,0,1,0,5/3/2021 14:55,
124,0,0,1,5/3/2021 14:55,
125,0,1,0,5/3/2021 14:55,
126,0,0,1,5/3/2021 14:55,
127,0,1,0,5/3/2021 14:55,
128,0,0,1,5/3/2021 14:56,
129,0,0,0,5/3/2021 14:56,
130,0,0,1,5/3/2021 14:56,
131,0,0,0,5/3/2021 14:56,
132,0,1,0,5/3/2021 14:56,
133,0,0,0,5/3/2021 14:56,
134,0,1,0,5/3/2021 14:56,
135,0,0,0,5/3/2021 14:56,
136,0,1,0,5/3/2021 14:56,
137,0,0,0,5/3/2021 14:56,
138,0,1,0,5/3/2021 14:56,
139,0,0,0,5/3/2021 14:56,
140,0,1,0,5/3/2021 14:56,
141,0,0,1,5/3/2021 15:00,
142,0,1,0,5/3/2021 15:00,
143,0,0,0,5/3/2021 15:00,
144,1,1,0,5/3/2021 15:01,
145,1,0,1,5/3/2021 15:01,
146,1,0,0,5/3/2021 15:01,
147,1,0,1,5/3/2021 15:01,
148,2,1,0,5/3/2021 15:02,
149,2,0,1,5/3/2021 15:02,
150,2,1,0,5/3/2021 15:02,
151,2,0,1,5/3/2021 15:03,
152,2,1,0,5/3/2021 15:03,
153,2,0,1,5/3/2021 15:04,
154,2,1,0,5/3/2021 15:04,
155,2,0,1,5/3/2021 15:04,
156,2,1,0,5/3/2021 15:04,
157,1,1,0,5/3/2021 15:04,
158,1,0,0,5/3/2021 15:04,
159,1,1,0,5/3/2021 15:04,
160,1,0,1,5/3/2021 15:04,
161,1,0,0,5/3/2021 15:04,
162,2,1,0,5/3/2021 15:04,
163,2,0,0,5/3/2021 15:04,
164,2,1,0,5/3/2021 15:04,
165,3,1,0,5/3/2021 15:06,
166,3,0,0,5/3/2021 15:08,
167,3,1,0,5/3/2021 15:08,
168,3,0,1,5/3/2021 15:08,
169,3,1,0,5/3/2021 15:08,
170,0,0,1,5/3/2021 15:13,
171,0,1,0,5/3/2021 15:17,
172,0,0,0,5/3/2021 15:17,
173,0,1,0,5/3/2021 15:17,
174,0,0,1,5/3/2021 15:17,
175,0,1,0,5/3/2021 15:17,9
176,1,1,0,5/3/2021 15:17,9
177,2,1,0,5/3/2021 15:17,9
178,2,0,0,5/3/2021 15:18,9
179,2,0,1,5/3/2021 15:18,9
180,3,1,0,5/3/2021 15:18,9
181,4,1,0,5/3/2021 15:18,9
182,5,1,0,5/3/2021 15:18,9
183,6,1,0,5/3/2021 15:18,9
184,7,1,0,5/3/2021 15:18,9
185,8,1,0,5/3/2021 15:18,9
186,9,1,0,5/3/2021 15:18,9
187,10,1,0,5/3/2021 15:18,9
188,11,1,0,5/3/2021 15:19,9
189,10,1,0,5/3/2021 15:19,9
190,11,1,0,5/3/2021 15:19,9
191,10,1,0,5/3/2021 15:19,9
192,11,1,0,5/3/2021 15:19,9
193,10,1,0,5/3/2021 15:19,9
194,9,1,0,5/3/2021 15:19,9
195,8,1,0,5/3/2021 15:19,9
196,0,1,0,5/3/2021 15:26,9
197,0,0,0,5/3/2021 15:34,9
198,0,1,0,5/3/2021 15:34,9
199,0,0,0,5/3/2021 15:34,9
200,0,0,1,5/3/2021 15:34,9
201,0,0,0,5/3/2021 15:34,9
202,0,0,1,5/3/2021 15:34,9
203,0,0,0,5/3/2021 15:34,9
204,0,1,0,5/3/2021 15:35,9
205,0,0,0,5/3/2021 15:35,9
206,0,1,0,5/3/2021 15:35,9
207,0,0,0,5/3/2021 15:35,9
208,0,1,0,5/3/2021 15:35,9
209,0,0,0,5/3/2021 15:35,9
210,0,1,0,5/3/2021 15:35,9
211,0,0,0,5/3/2021 15:35,9
212,,1,1,5/3/2021 15:36,9
213,0,0,1,5/3/2021 15:36,9
214,0,0,0,5/3/2021 15:37,9
215,0,0,1,5/3/2021 15:37,9
216,0,0,0,5/3/2021 15:37,9
217,,1,0,5/3/2021 15:37,9
218,0,1,0,5/3/2021 15:37,9
219,0,0,0,5/3/2021 15:37,9
220,0,1,0,5/3/2021 15:37,9
221,0,0,0,5/3/2021 15:37,9
222,0,0,1,5/3/2021 15:37,9
223,0,0,0,5/3/2021 15:37,9
224,0,0,1,5/3/2021 15:38,9
225,0,0,0,5/3/2021 15:40,9
226,0,1,0,5/3/2021 15:40,9
227,1,1,0,5/3/2021 15:40,9
228,1,0,0,5/3/2021 15:40,9
229,1,1,0,5/3/2021 15:40,9
230,1,0,0,5/3/2021 15:40,9
231,1,0,1,5/3/2021 15:40,9
232,0,0,1,5/3/2021 15:43,9
233,0,0,0,5/3/2021 15:43,9
234,0,0,1,5/3/2021 15:43,9
235,0,0,0,5/3/2021 15:43,9
236,0,1,0,5/3/2021 15:43,9
237,0,0,0,5/3/2021 15:43,9
238,0,1,0,5/3/2021 15:43,9
239,1,1,0,5/3/2021 15:43,9
240,1,0,0,5/3/2021 15:44,9
241,1,0,1,5/3/2021 15:44,9
242,1,0,0,5/3/2021 15:44,9
243,1,0,1,5/3/2021 15:44,9
244,2,1,0,5/3/2021 15:44,9
245,2,0,0,5/3/2021 15:44,9
246,2,1,0,5/3/2021 15:45,9
247,2,0,1,5/3/2021 15:45,9
248,2,0,0,5/3/2021 15:45,9
249,2,0,1,5/3/2021 15:45,9
250,2,1,0,5/3/2021 15:45,9
251,,1,0,5/3/2021 15:46,9
252,None,1,0,5/3/2021 15:52,9
253,2,1,10,5/3/2021 15:55,
254,2,1,0,5/3/2021 15:56,9
255,2,1,0,5/3/2021 16:03,9
256,2,1,0,5/3/2021 16:04,9
257,2,1,0,5/3/2021 16:04,9
258,8,1,0,5/3/2021 16:05,9
259,0,1,0,5/4/2021 10:27,9
260,0,1,0,5/4/2021 10:29,9
261,0,1,0,5/4/2021 10:29,9
262,0,1,1,5/4/2021 10:29,9
263,0,0,1,5/4/2021 10:29,9
264,0,1,1,5/4/2021 10:29,9
265,0,0,1,5/4/2021 10:29,9
266,0,0,1,5/4/2021 10:30,9
267,0,0,0,5/4/2021 10:31,9
268,0,1,0,5/4/2021 10:31,9
269,0,0,0,5/4/2021 10:31,9
270,0,1,0,5/4/2021 10:31,9
271,0,0,0,5/4/2021 10:31,9
272,0,1,0,5/4/2021 10:31,9
273,0,0,0,5/4/2021 10:31,9
274,0,1,0,5/4/2021 10:31,9
275,0,0,1,5/4/2021 10:31,9
276,0,0,0,5/4/2021 10:31,9
277,0,1,0,5/4/2021 10:31,9
278,0,1,0,5/4/2021 10:31,9
279,0,0,0,5/4/2021 10:31,9
280,0,0,0,5/4/2021 10:31,9
281,0,1,0,5/4/2021 10:31,9
282,0,1,0,5/4/2021 10:31,9
283,0,0,0,5/4/2021 10:32,9
284,0,0,0,5/4/2021 10:32,9
285,0,1,0,5/4/2021 10:33,9
286,0,1,0,5/4/2021 10:33,9
287,0,0,0,5/4/2021 10:34,9
288,0,0,0,5/4/2021 10:34,9
289,0,0,1,5/4/2021 10:34,9
290,0,0,1,5/4/2021 10:34,9
291,0,0,0,5/4/2021 10:38,9
292,0,1,0,5/4/2021 10:38,9
293,0,0,0,5/4/2021 10:38,9
294,0,1,0,5/4/2021 10:38,9
295,0,0,0,5/4/2021 10:38,9
296,0,1,0,5/4/2021 10:38,9
297,0,0,0,5/4/2021 10:38,9
298,0,1,0,5/4/2021 10:38,9
299,0,1,0,5/4/2021 10:38,9
300,0,1,0,5/4/2021 10:38,9
301,0,0,0,5/4/2021 10:39,9
302,0,1,0,5/4/2021 10:39,9
303,0,0,0,5/4/2021 10:39,9
304,0,0,1,5/4/2021 10:39,9
305,0,0,0,5/4/2021 10:39,9
306,0,0,1,5/4/2021 10:39,9
307,0,0,0,5/4/2021 10:39,9
308,0,1,0,5/4/2021 10:40,9
309,0,0,0,5/4/2021 10:40,9
310,0,1,0,5/4/2021 10:40,9
311,0,0,1,5/4/2021 10:40,9
312,0,1,0,5/4/2021 10:40,9
313,0,0,1,5/4/2021 10:42,9
314,0,0,0,5/4/2021 10:44,9
315,0,0,0,5/4/2021 10:44,9
316,0,0,0,5/4/2021 10:44,9
317,0,0,1,5/4/2021 10:44,9
318,0,0,0,5/4/2021 10:44,9
319,0,0,1,5/4/2021 10:44,9
320,0,0,0,5/4/2021 10:44,9
321,0,0,1,5/4/2021 10:44,9
322,0,0,0,5/4/2021 10:44,9
323,0,1,0,5/4/2021 10:44,9
324,0,0,0,5/4/2021 10:44,9
325,0,1,0,5/4/2021 10:44,9
326,0,0,0,5/4/2021 10:44,9
327,0,0,1,5/4/2021 10:44,9
328,0,0,0,5/4/2021 10:45,9
329,0,0,1,5/4/2021 10:45,9
330,0,0,1,5/4/2021 10:45,9
331,0,0,0,5/4/2021 10:45,9
332,0,0,1,5/4/2021 10:45,9
333,0,0,0,5/4/2021 10:45,9
334,0,0,1,5/4/2021 10:45,9
335,0,0,1,5/4/2021 10:46,9
336,0,0,1,5/4/2021 10:46,9
337,0,0,1,5/4/2021 10:46,9
338,0,0,1,5/4/2021 10:48,9
339,0,0,0,5/4/2021 10:48,9
340,0,1,0,5/4/2021 10:48,9
341,0,0,0,5/4/2021 10:48,9
342,0,1,0,5/4/2021 10:48,9
343,0,1,0,5/4/2021 10:51,9
344,0,0,1,5/4/2021 10:51,9
345,0,0,0,5/4/2021 10:51,9
346,0,0,1,5/4/2021 10:51,9
347,0,0,0,5/4/2021 10:51,9
348,0,1,0,5/4/2021 10:51,9
349,0,0,0,5/4/2021 10:51,9
350,0,1,0,5/4/2021 10:51,9
351,0,0,0,5/4/2021 10:51,9
352,0,1,0,5/4/2021 10:51,9
353,0,1,0,5/4/2021 10:53,9
354,0,0,1,5/4/2021 10:53,9
355,0,0,0,5/4/2021 10:54,9
356,0,1,0,5/4/2021 10:54,9
357,0,0,0,5/4/2021 10:54,9
358,0,1,0,5/4/2021 10:54,9
359,0,0,0,5/4/2021 10:54,9
360,0,0,1,5/4/2021 10:54,9
361,0,0,0,5/4/2021 10:54,9
362,0,0,1,5/4/2021 10:54,9
363,0,0,0,5/4/2021 10:54,9
364,0,0,1,5/4/2021 10:54,9
365,0,0,0,5/4/2021 10:54,9
366,0,0,1,5/4/2021 10:54,9
367,0,0,0,5/4/2021 10:54,9
368,0,0,1,5/4/2021 10:54,9
369,0,0,0,5/4/2021 10:54,9
370,0,1,0,5/4/2021 10:54,9
371,0,0,0,5/4/2021 10:54,9
372,0,0,1,5/4/2021 10:54,9
373,0,0,0,5/4/2021 10:54,9
374,0,1,0,5/4/2021 10:54,9
375,0,0,0,5/4/2021 10:54,9
376,0,1,0,5/4/2021 10:54,9
377,0,0,0,5/4/2021 10:54,9
378,0,0,1,5/4/2021 10:54,9
379,0,0,1,5/4/2021 10:57,9
380,0,0,0,5/4/2021 10:57,9
381,0,0,1,5/4/2021 10:57,9
382,0,0,0,5/4/2021 10:57,9
383,0,1,0,5/4/2021 10:57,9
384,0,0,0,5/4/2021 10:57,9
385,0,1,0,5/4/2021 10:57,9
386,0,0,0,5/4/2021 10:57,9
387,0,0,1,5/4/2021 10:57,9
388,0,0,0,5/4/2021 10:57,9
389,0,1,0,5/4/2021 10:57,9
390,0,0,0,5/4/2021 10:57,9
391,0,1,0,5/4/2021 10:57,9
392,0,0,0,5/4/2021 10:57,9
393,0,0,0,5/4/2021 10:57,9
394,0,0,0,5/4/2021 10:57,9
395,0,0,0,5/4/2021 10:57,9
396,0,1,0,5/4/2021 10:58,9
397,0,0,0,5/4/2021 10:58,9
398,0,1,0,5/4/2021 10:58,9
399,0,0,0,5/4/2021 10:58,9
400,0,0,1,5/4/2021 10:58,9
401,0,0,0,5/4/2021 10:58,9
402,0,1,0,5/4/2021 10:58,9
403,0,0,1,5/4/2021 10:58,9
404,0,0,0,5/4/2021 10:58,9
405,0,1,0,5/4/2021 10:58,9
406,0,1,0,5/4/2021 11:00,9
407,0,1,0,5/4/2021 11:02,9
408,0,0,1,5/4/2021 11:02,9
409,0,0,0,5/4/2021 11:02,9
410,0,1,0,5/4/2021 11:02,9
411,0,0,0,5/4/2021 11:02,9
412,0,1,0,5/4/2021 11:02,9
413,0,0,0,5/4/2021 11:02,9
414,0,1,0,5/4/2021 11:02,9
415,0,0,1,5/4/2021 11:02,9
416,0,0,0,5/4/2021 11:02,9
417,0,0,1,5/4/2021 11:02,9
418,0,0,1,5/4/2021 11:04,9
419,0,0,1,5/4/2021 11:06,9
420,0,0,0,5/4/2021 11:06,9
421,0,1,0,5/4/2021 11:06,9
422,0,0,0,5/4/2021 11:06,9
423,0,1,0,5/4/2021 11:06,9
424,0,0,0,5/4/2021 11:06,9
425,0,1,0,5/4/2021 11:06,9
426,0,0,1,5/4/2021 11:06,9
427,0,0,0,5/4/2021 11:06,9
428,0,1,0,5/4/2021 11:06,9
429,0,0,1,5/4/2021 11:06,9
430,0,1,0,5/4/2021 11:06,9
431,0,0,1,5/4/2021 11:07,9
432,0,1,0,5/4/2021 11:07,9
433,1,1,0,5/4/2021 11:07,9
434,1,0,0,5/4/2021 11:07,9
435,1,1,0,5/4/2021 11:07,9
436,0,1,0,5/4/2021 11:08,9
437,0,1,0,5/4/2021 11:10,9
438,0,0,1,5/4/2021 11:10,9
439,0,0,0,5/4/2021 11:10,9
440,0,1,0,5/4/2021 11:10,9
441,0,0,0,5/4/2021 11:10,9
442,0,1,0,5/4/2021 11:10,9
443,0,0,1,5/4/2021 11:10,9
444,0,1,0,5/4/2021 11:10,9
445,0,1,0,5/4/2021 11:13,9
446,0,1,0,5/4/2021 11:14,9
447,0,0,1,5/4/2021 11:15,9
448,0,0,0,5/4/2021 11:15,9
449,0,0,1,5/4/2021 11:15,9
450,0,0,0,5/4/2021 11:15,9
451,0,1,0,5/4/2021 11:15,9
452,0,0,0,5/4/2021 11:15,9
453,0,1,0,5/4/2021 11:15,9
454,0,0,0,5/4/2021 11:15,9
455,0,0,1,5/4/2021 11:15,9
456,0,1,0,5/4/2021 11:15,9
457,0,0,0,5/4/2021 11:16,9
458,0,1,0,5/4/2021 11:16,9
459,0,0,0,5/4/2021 11:16,9
460,0,0,1,5/4/2021 11:16,9
461,0,1,0,5/4/2021 11:16,9
462,0,1,0,5/4/2021 11:17,9
463,0,1,0,5/4/2021 11:19,9
464,0,1,0,5/4/2021 11:22,9
465,0,1,0,5/4/2021 11:25,9
466,0,0,0,5/4/2021 11:25,9
467,0,1,0,5/4/2021 11:25,9
468,0,0,1,5/4/2021 11:25,9
469,0,1,0,5/4/2021 11:25,9
470,0,0,1,5/4/2021 11:25,9
471,0,0,0,5/4/2021 11:25,9
472,0,1,0,5/4/2021 11:25,9
473,0,0,0,5/4/2021 11:25,9
474,0,1,0,5/4/2021 11:25,9
475,0,0,1,5/4/2021 11:25,9
476,0,1,0,5/4/2021 11:25,9
477,0,1,0,5/4/2021 11:25,9
478,0,1,0,5/4/2021 11:26,9
479,0,0,0,5/4/2021 11:26,9
480,0,0,0,5/4/2021 11:26,9
481,0,0,1,5/4/2021 11:26,9
482,0,0,1,5/4/2021 11:26,9
483,0,1,0,5/4/2021 11:26,9
484,0,1,0,5/4/2021 11:26,9
485,1,1,0,5/4/2021 11:29,9
486,0,1,0,5/4/2021 11:30,9
487,1,1,0,5/4/2021 11:30,9
488,2,1,0,5/4/2021 11:30,9
489,1,1,0,5/4/2021 11:30,9
490,2,1,0,5/4/2021 11:30,9
491,0,1,0,5/4/2021 11:38,9
492,0,0,1,5/4/2021 11:39,9
493,0,0,0,5/4/2021 11:39,9
494,0,0,1,5/4/2021 11:39,9
495,0,0,0,5/4/2021 11:39,9
496,0,0,1,5/4/2021 11:39,9
497,0,0,0,5/4/2021 11:39,9
